====================================================== Fold 0: 
Test Precision: 0.7272727272694215 | Test Recall: 0.19277108433711715 | Test F1: 0.3047619047281996
==============================
Correct Prediction Rules (12):
glycolysis.catalysis296 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction297
glycolysis.modulation237 glycolysis.PARTICIPANTS glycolysis.catalysis238
glycolysis.modulation302 glycolysis.PARTICIPANTS glycolysis.catalysis293
glycolysis.modulation298 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant300
glycolysis.biochemicalReaction172 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant184
glycolysis.biochemicalReaction172 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant188
glycolysis.catalysis299 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant289
glycolysis.modulation314 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant315
glycolysis.biochemicalReaction13 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant29
glycolysis.complex139 glycolysis.ORGANISM glycolysis.bioSource43
glycolysis.modulation308 glycolysis.CONTROLLED glycolysis.catalysis2
glycolysis.biochemicalReaction205 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant16
==============================
New Rules (50502):
glycolysis.chemicalStructure20 glycolysis.XREF glycolysis.chemicalStructure116
glycolysis.biochemicalReaction297 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant233
glycolysis.smallMolecule111 glycolysis.PHYSICAL-ENTITY glycolysis.publicationXref244
glycolysis.physicalEntityParticipant289 glycolysis.CONTROLLER glycolysis.modulation318
glycolysis.smallMolecule247 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant105
glycolysis.publicationXref10 glycolysis.XREF glycolysis.unificationXref257
glycolysis.unificationXref18 glycolysis.STRUCTURE glycolysis.unificationXref21
glycolysis.physicalEntityParticipant184 glycolysis.RIGHT glycolysis.physicalEntityParticipant37
glycolysis.catalysis293 glycolysis.CONTROLLED glycolysis.catalysis299
glycolysis.physicalEntityParticipant29 glycolysis.PARTICIPANTS glycolysis.modulation215
glycolysis.smallMolecule247 glycolysis.XREF glycolysis.unificationXref52
glycolysis.smallMolecule304 glycolysis.XREF glycolysis.relationshipXref266
glycolysis.publicationXref3 glycolysis.PARTICIPANTS glycolysis.catalysis73
glycolysis.publicationXref192 glycolysis.ORGANISM glycolysis.unificationXref143
glycolysis.unificationXref146 glycolysis.XREF glycolysis.physicalEntityParticipant261
glycolysis.catalysis293 glycolysis.PARTICIPANTS glycolysis.modulation237
glycolysis.unificationXref119 glycolysis.XREF glycolysis.unificationXref256
glycolysis.unificationXref200 glycolysis.ORGANISM glycolysis.unificationXref270
glycolysis.modulation317 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction172
glycolysis.publicationXref322 glycolysis.PARTICIPANTS glycolysis.modulation237
glycolysis.unificationXref129 glycolysis.XREF glycolysis.modulation318
glycolysis.unificationXref44 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule27
glycolysis.catalysis238 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant240
glycolysis.openControlledVocabulary40 glycolysis.CELLULAR-LOCATION glycolysis.protein221
glycolysis.protein221 glycolysis.XREF glycolysis.unificationXref279
glycolysis.unificationXref68 glycolysis.XREF glycolysis.unificationXref119
glycolysis.physicalEntityParticipant303 glycolysis.PARTICIPANTS glycolysis.pathwayStep82
glycolysis.modulation318 glycolysis.PARTICIPANTS glycolysis.biochemicalReaction205
glycolysis.unificationXref202 glycolysis.XREF glycolysis.physicalEntityParticipant57
glycolysis.publicationXref322 glycolysis.XREF glycolysis.modulation316
glycolysis.chemicalStructure60 glycolysis.STRUCTURE glycolysis.unificationXref227
glycolysis.complex139 glycolysis.XREF glycolysis.unificationXref255
glycolysis.physicalEntityParticipant159 glycolysis.CONTROLLER glycolysis.physicalEntityParticipant162
glycolysis.protein251 glycolysis.XREF glycolysis.chemicalStructure179
glycolysis.unificationXref45 glycolysis.XREF glycolysis.chemicalStructure230
glycolysis.unificationXref47 glycolysis.ORGANISM glycolysis.smallMolecule178
glycolysis.protein196 glycolysis.XREF glycolysis.unificationXref256
glycolysis.chemicalStructure157 glycolysis.XREF glycolysis.unificationXref143
glycolysis.unificationXref59 glycolysis.XREF glycolysis.relationshipXref214
glycolysis.physicalEntityParticipant26 glycolysis.PARTICIPANTS glycolysis.modulation308
glycolysis.unificationXref279 glycolysis.ORGANISM glycolysis.unificationXref267
glycolysis.unificationXref252 glycolysis.XREF glycolysis.publicationXref14
glycolysis.physicalEntityParticipant233 glycolysis.CONTROLLER glycolysis.publicationXref322
glycolysis.unificationXref128 glycolysis.ORGANISM glycolysis.unificationXref48
glycolysis.openControlledVocabulary40 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant120
glycolysis.smallMolecule134 glycolysis.XREF glycolysis.relationshipXref258
glycolysis.unificationXref99 glycolysis.ORGANISM glycolysis.smallMolecule149
glycolysis.physicalEntityParticipant37 glycolysis.XREF glycolysis.relationshipXref266
glycolysis.chemicalStructure150 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant195
glycolysis.bioSource43 glycolysis.XREF glycolysis.publicationXref322
glycolysis.smallMolecule160 glycolysis.PHYSICAL-ENTITY glycolysis.publicationXref94
glycolysis.smallMolecule106 glycolysis.XREF glycolysis.unificationXref144
glycolysis.unificationXref287 glycolysis.ORGANISM glycolysis.unificationXref225
glycolysis.smallMolecule304 glycolysis.PHYSICAL-ENTITY glycolysis.complex282
glycolysis.unificationXref130 glycolysis.ORGANISM glycolysis.unificationXref127
glycolysis.unificationXref199 glycolysis.ORGANISM glycolysis.unificationXref45
glycolysis.unificationXref267 glycolysis.XREF glycolysis.unificationXref101
glycolysis.unificationXref52 glycolysis.XREF glycolysis.unificationXref257
glycolysis.publicationXref220 glycolysis.CONTROLLED glycolysis.publicationXref322
glycolysis.smallMolecule218 glycolysis.PHYSICAL-ENTITY glycolysis.protein284
glycolysis.unificationXref59 glycolysis.XREF glycolysis.unificationXref49
glycolysis.modulation316 glycolysis.XREF glycolysis.unificationXref70
glycolysis.physicalEntityParticipant154 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant173
glycolysis.complex139 glycolysis.PHYSICAL-ENTITY glycolysis.complex265
glycolysis.unificationXref175 glycolysis.STRUCTURE glycolysis.unificationXref21
glycolysis.biochemicalReaction13 glycolysis.XREF glycolysis.unificationXref225
glycolysis.unificationXref143 glycolysis.XREF glycolysis.relationshipXref214
glycolysis.physicalEntityParticipant71 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule86
glycolysis.unificationXref270 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant283
glycolysis.unificationXref235 glycolysis.STRUCTURE glycolysis.chemicalStructure236
glycolysis.physicalEntityParticipant177 glycolysis.LEFT glycolysis.physicalEntityParticipant184
glycolysis.unificationXref252 glycolysis.XREF glycolysis.physicalEntityParticipant208
glycolysis.protein209 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant114
glycolysis.complex121 glycolysis.PHYSICAL-ENTITY glycolysis.smallMolecule34
glycolysis.smallMolecule218 glycolysis.ORGANISM glycolysis.relationshipXref258
glycolysis.modulation215 glycolysis.PARTICIPANTS glycolysis.catalysis73
glycolysis.unificationXref278 glycolysis.XREF glycolysis.chemicalStructure116
glycolysis.biochemicalReaction260 glycolysis.PARTICIPANTS glycolysis.physicalEntityParticipant154
glycolysis.unificationXref156 glycolysis.COMPONENTS glycolysis.chemicalStructure157
glycolysis.unificationXref246 glycolysis.XREF glycolysis.publicationXref192
glycolysis.complex75 glycolysis.COMPONENTS glycolysis.physicalEntityParticipant283
glycolysis.physicalEntityParticipant281 glycolysis.PARTICIPANTS glycolysis.modulation316
glycolysis.chemicalStructure28 glycolysis.XREF glycolysis.publicationXref170
glycolysis.publicationXref239 glycolysis.PARTICIPANTS glycolysis.publicationXref12
glycolysis.complex75 glycolysis.CELLULAR-LOCATION glycolysis.protein251
glycolysis.relationshipXref67 glycolysis.XREF glycolysis.unificationXref267
glycolysis.unificationXref103 glycolysis.ORGANISM glycolysis.unificationXref99
glycolysis.unificationXref224 glycolysis.XREF glycolysis.unificationXref225
glycolysis.chemicalStructure186 glycolysis.XREF glycolysis.relationshipXref131
glycolysis.unificationXref89 glycolysis.STRUCTURE glycolysis.unificationXref175
glycolysis.physicalEntityParticipant90 glycolysis.PARTICIPANTS glycolysis.publicationXref220
glycolysis.relationshipXref258 glycolysis.XREF glycolysis.unificationXref197
glycolysis.modulation316 glycolysis.XREF glycolysis.unificationXref68
glycolysis.physicalEntityParticipant162 glycolysis.PARTICIPANTS glycolysis.modulation314
glycolysis.unificationXref175 glycolysis.XREF glycolysis.smallMolecule268
glycolysis.physicalEntityParticipant33 glycolysis.CONTROLLER glycolysis.publicationXref322
glycolysis.protein66 glycolysis.XREF glycolysis.unificationXref128
glycolysis.physicalEntityParticipant323 glycolysis.XREF glycolysis.unificationXref254
glycolysis.unificationXref129 glycolysis.XREF glycolysis.relationshipXref258
glycolysis.publicationXref11 glycolysis.XREF glycolysis.unificationXref127
glycolysis.unificationXref100 glycolysis.XREF glycolysis.unificationXref44
glycolysis.unificationXref225 glycolysis.XREF glycolysis.relationshipXref67
glycolysis.modulation308 glycolysis.CONTROLLER glycolysis.biochemicalReaction295
glycolysis.unificationXref130 glycolysis.XREF glycolysis.biochemicalReaction13
glycolysis.smallMolecule218 glycolysis.PHYSICAL-ENTITY glycolysis.physicalEntityParticipant188
