====================================================== Fold 0: 
Test Precision: 0.7045596502185694 | Test Recall: 0.4336793540945623 | Test F1: 0.5368871965258667
==============================
Correct Prediction Rules (82):
NTNcombined.Priscilla NTNcombined.residentPlace NTNcombined.Rome
NTNcombined.Tryphosa NTNcombined.knows NTNcombined.Paul
NTNcombined.RufusOfRome NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.ManassehThePatriarch NTNcombined.relativeOf NTNcombined.Reuben
NTNcombined.Benjamin NTNcombined.relativeOf NTNcombined.Gad
NTNcombined.Priscilla NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.Zebulun NTNcombined.siblingOf NTNcombined.Issachar
NTNcombined.Gad NTNcombined.siblingOf NTNcombined.Issachar
NTNcombined.Judah NTNcombined.childOf NTNcombined.Jacob
NTNcombined.Reuben NTNcombined.siblingOf NTNcombined.SimeonThePatriarch
NTNcombined.Philologus NTNcombined.knows NTNcombined.Paul
NTNcombined.Paul NTNcombined.knows NTNcombined.Claudia
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Junia
NTNcombined.ManassehThePatriarch NTNcombined.relativeOf NTNcombined.Naphtali
NTNcombined.Levi NTNcombined.relativeOf NTNcombined.Levi
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Tryphosa
NTNcombined.SimeonThePatriarch NTNcombined.siblingOf NTNcombined.Judah
NTNcombined.Isaac NTNcombined.childOf NTNcombined.Sarah
NTNcombined.ManassehThePatriarch NTNcombined.relativeOf NTNcombined.Levi
NTNcombined.Zebulun NTNcombined.relativeOf NTNcombined.Benjamin
NTNcombined.Reuben NTNcombined.relativeOf NTNcombined.Levi
NTNcombined.Gad NTNcombined.relativeOf NTNcombined.Reuben
NTNcombined.SimeonThePatriarch NTNcombined.relativeOf NTNcombined.JosephThePatriarch
NTNcombined.Naphtali NTNcombined.siblingOf NTNcombined.Naphtali
NTNcombined.Benjamin NTNcombined.siblingOf NTNcombined.Levi
NTNcombined.Thessalonica NTNcombined.subregionOf NTNcombined.Macedonia
NTNcombined.Elizabeth NTNcombined.religiousBelief NTNcombined.Judaism
NTNcombined.Gad NTNcombined.siblingOf NTNcombined.SimeonThePatriarch
NTNcombined.Ephesus NTNcombined.visitedPlaceOf NTNcombined.Priscilla
NTNcombined.SimeonThePatriarch NTNcombined.relativeOf NTNcombined.Judah
NTNcombined.Levi NTNcombined.relativeOf NTNcombined.Naphtali
NTNcombined.MaryOfRome NTNcombined.visitedPlace NTNcombined.Rome
NTNcombined.AlexanderOfTheSanhedrin NTNcombined.knows NTNcombined.JohnSonOfZebedee
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Urbanus
NTNcombined.Rome NTNcombined.visitedPlaceOf NTNcombined.Apelles
NTNcombined.Benjamin NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.Priscilla NTNcombined.collaboratesWith NTNcombined.Paul
NTNcombined.Judah NTNcombined.relativeOf NTNcombined.Naphtali
NTNcombined.Levi NTNcombined.siblingOf NTNcombined.ManassehThePatriarch
NTNcombined.ManassehThePatriarch NTNcombined.siblingOf NTNcombined.JosephThePatriarch
NTNcombined.Cornelius NTNcombined.ethnicity NTNcombined.Roman
NTNcombined.Benjamin NTNcombined.relativeOf NTNcombined.Benjamin
NTNcombined.Paul NTNcombined.knows NTNcombined.Asyncritus
NTNcombined.Gad NTNcombined.relativeOf NTNcombined.Issachar
NTNcombined.Asher NTNcombined.relativeOf NTNcombined.Gad
NTNcombined.Sosipater NTNcombined.religiousBelief NTNcombined.Christianity
NTNcombined.Reuben NTNcombined.siblingOf NTNcombined.Benjamin
NTNcombined.Gamaliel NTNcombined.ethnicity NTNcombined.Jewish
NTNcombined.Reuben NTNcombined.relativeOf NTNcombined.Benjamin
NTNcombined.Corinth NTNcombined.residentPlaceOf NTNcombined.Aquila
NTNcombined.Naphtali NTNcombined.relativeOf NTNcombined.Judah
NTNcombined.Priscilla NTNcombined.knows NTNcombined.Epaenetus
NTNcombined.Rome NTNcombined.residentPlaceOf NTNcombined.Julia
