====================================================== Fold 0: 
Test Precision: 0.9526315789472012 | Test Recall: 0.8524332810045757 | Test F1: 0.8997514498257297
==============================
Correct Prediction Rules (10):
humandisease3.Acute_endocarditis_unspecified humandisease3.isSymptomOf humandisease3.Aspergillosis_unspecified
humandisease3.SYM_A humandisease3.isSymptomOf humandisease3.DIS_Z
humandisease3.SYM_E humandisease3.isSymptomOf humandisease3.PR_SYMS_D_E_AND_DIS_X
humandisease3.Acute_endocarditis_unspecified humandisease3.isSymptomOf humandisease3.Q_fever
humandisease3.Malaise_and_fatigue humandisease3.isSymptomOf humandisease3.Q_fever
humandisease3.Precordial_pain humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.DIS_X humandisease3.hasSymptom humandisease3.SYM_C
humandisease3.Tremor_unspecified humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.Shiver humandisease3.isSymptomOf humandisease3.Aspergillosis_unspecified
humandisease3.Abnormal_weight_loss humandisease3.isSymptomOf humandisease3.Aspergillosis_unspecified
==============================
New Rules (62):
humandisease3.B44.0_SYM_Weight_Loss humandisease3.containsSymptomOrDisease humandisease3.Chest_pain_unspecified
humandisease3.SYM_D humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B_C_F
humandisease3.A20.2_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.B44.9_SYM_Shiver humandisease3.containsSymptomOrDisease humandisease3.Other_and_unspecified_convulsions
humandisease3.B15.9_SYM_Loss_appetite humandisease3.containsSymptomOrDisease humandisease3.Stools_-_pale_or_clay_colored
humandisease3.A20.2_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.Shiver humandisease3.isSymptomOf humandisease3.Yellow_fever_unspecified
humandisease3.A20.0_SYM_Shiver humandisease3.containsSymptomOrDisease humandisease3.Other_and_unspecified_convulsions
humandisease3.A90_LT_Low_Blood_Pressure humandisease3.containsLabTest humandisease3.Complete_blood_count_unspecified
humandisease3.Q_fever humandisease3.hasSymptom humandisease3.Other_and_unspecified_convulsions
humandisease3.B44.0_LT_Open_Lung_biopsy humandisease3.containsLabTest humandisease3.CT_Thoracic
humandisease3.B15.9_SYM_Stools_pale_or_clay_colored humandisease3.containsSymptomOrDisease humandisease3.Loss_of_appetite
humandisease3.A20.2_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.B44.0_LT_Bronchoscopy humandisease3.containsLabTest humandisease3.Open_lung_biopsy
humandisease3.SYM_F humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B_C
humandisease3.SYM_F humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B
humandisease3.A90_LT_Serology_studies_look_antibodies_dengue humandisease3.containsLabTest humandisease3.Antibody_titer_for_dengue_virus_types
humandisease3.A78_SYM_Shiver humandisease3.containsSymptomOrDisease humandisease3.Other_and_unspecified_convulsions
humandisease3.PR_SYMS_A_B_C_F humandisease3.hasSymptom humandisease3.SYM_D
