[23, '?', 0]
['?', 256, 0]
[245, '?', 27]
['?', 654, 27]
[97, '?', 1]
['?', 96, 1]
[429, '?', 1]
['?', 28, 1]
[385, '?', 25]
['?', 381, 25]
[172, '?', 11]
['?', 173, 11]
[222, '?', 28]
['?', 397, 28]
[40, '?', 3]
['?', 41, 3]
[147, '?', 6]
['?', 28, 6]
[457, '?', 9]
['?', 1, 9]
[321, '?', 6]
['?', 60, 6]
[127, '?', 16]
['?', 32, 16]
[386, '?', 25]
['?', 384, 25]
[545, '?', 21]
['?', 30, 21]
[92, '?', 24]
['?', 90, 24]
[299, '?', 6]
[346, '?', 5]
['?', 304, 5]
[99, '?', 6]
['?', 78, 6]
[1, '?', 10]
['?', 487, 10]
[30, '?', 22]
['?', 277, 22]
[370, '?', 18]
['?', 533, 18]
[123, '?', 27]
['?', 465, 27]
[438, '?', 6]
['?', 66, 6]
[228, '?', 28]
[485, '?', 5]
['?', 472, 5]
[213, '?', 4]
['?', 212, 4]
[84, '?', 9]
[36, '?', 5]
['?', 251, 5]
[151, '?', 4]
['?', 367, 4]
['?', 217, 22]
[191, '?', 1]
['?', 196, 1]
[462, '?', 4]
['?', 163, 4]
[40, '?', 4]
['?', 41, 4]
[192, '?', 1]
[205, '?', 9]
[412, '?', 10]
['?', 151, 10]
[251, '?', 4]
['?', 36, 4]
[384, '?', 25]
['?', 380, 25]
['?', 9, 10]
[3, '?', 4]
['?', 4, 4]
[6, '?', 25]
['?', 3, 25]
[41, '?', 5]
['?', 40, 5]
[380, '?', 4]
['?', 78, 4]
[460, '?', 5]
['?', 461, 5]
[115, '?', 1]
['?', 138, 1]
[60, '?', 1]
['?', 322, 1]
[63, '?', 7]
['?', 60, 7]
[153, '?', 1]
['?', 149, 1]
[346, '?', 4]
['?', 304, 4]
[166, '?', 4]
['?', 383, 4]
[478, '?', 3]
['?', 488, 3]
[51, '?', 9]
[28, '?', 1]
['?', 199, 1]
[498, '?', 28]
[299, '?', 1]
['?', 151, 1]
[9, '?', 9]
[28, '?', 6]
['?', 196, 6]
[208, '?', 25]
