====================================================== Fold 0: 
Test Precision: 0.966336633663175 | Test Recall: 0.7858293075683114 | Test F1: 0.8667850798793287
==============================
Correct Prediction Rules (18):
humandisease3.Other_pruritus humandisease3.isSymptomOf humandisease3.Hepatitis_A_without_hepatic_coma
humandisease3.Malaise_and_fatigue humandisease3.isSymptomOf humandisease3.Bubonic_plague
humandisease3.PR_SYMS_A_B humandisease3.hasSymptom humandisease3.SYM_B
humandisease3.Lymph_node_culture humandisease3.isLabTestOf humandisease3.Pneumonic_plague
humandisease3.Herpesviral_gingivostomatitis_and_pharyngotonsillitis humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.SYM_B
humandisease3.Complete_blood_count_unspecified humandisease3.isLabTestOf humandisease3.Aspergillosis_unspecified
humandisease3.Nonspecific_low_blood-pressure_reading humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.Aspergillosis_precipitin humandisease3.isLabTestOf humandisease3.Aspergillosis_unspecified
humandisease3.Secondary_infections humandisease3.isSymptomOf humandisease3.Yellow_fever_unspecified
humandisease3.Eye_redness humandisease3.isSymptomOf humandisease3.Yellow_fever_unspecified
humandisease3.Pericarditis_in_other_diseases_classified_elsewhere humandisease3.isSymptomOf humandisease3.Q_fever
humandisease3.CT_Thoracic humandisease3.isLabTestOf humandisease3.Invasive_pulmonary_aspergillosis
humandisease3.Vision_problems humandisease3.isSymptomOf humandisease3.Aspergillosis_unspecified
humandisease3.Routine_sputum_culture humandisease3.isLabTestOf humandisease3.Septicaemic_plague
humandisease3.Pain_localized_to_other_parts_of_lower_abdomen humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.Inflammatory_liver_disease_unspecified humandisease3.isSymptomOf humandisease3.Q_fever
humandisease3.SYM_A humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B
==============================
New Rules (42):
humandisease3.B44.0_LT_Routine_Sputum_Culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A20.2_LT_Blood_culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A20.7_DIS_Coagulation_problem_defect humandisease3.containsSymptomOrDisease humandisease3.Other_and_unspecified_abdominal_pain
humandisease3.A20.7_SYM_Abdominal_pain humandisease3.containsSymptomOrDisease humandisease3.Coagulation_defect_unspecified
humandisease3.A20.2_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.A20.7_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.A20.2_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A20.2_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.A20.0_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.A20.7_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A20.0_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.SYM_C humandisease3.isSymptomOf humandisease3.DIS_Z
humandisease3.A20.2_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.B44.0_LT_Open_Lung_biopsy humandisease3.containsLabTest humandisease3.Chest_x-ray
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_E
humandisease3.DIS_Z humandisease3.hasSymptom humandisease3.SYM_C
humandisease3.A20.7_LT_Blood_culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A20.2_LT_Blood_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_X
humandisease3.PR_SYMS_D_E_AND_DIS_X humandisease3.hasSymptomContainer humandisease3.DIS_Y_Container_D
humandisease3.B44.9_LT_Biopsy humandisease3.containsLabTest humandisease3.Aspergillus_antigen_skin_test
humandisease3.A20.7_LT_Lymph_node_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.Other_and_unspecified_convulsions humandisease3.isSymptomOf humandisease3.Aspergillosis_unspecified
humandisease3.A20.0_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.Other_pruritus humandisease3.isSymptomOf humandisease3.Q_fever
humandisease3.B15.9_LT_IgM_and_IgG_antibodies_to_hepatitis_A humandisease3.containsLabTest humandisease3.Liver_function_tests_Unspecified_Hepatic_Enzyme_Elevated
humandisease3.PR_SYMS_A_B humandisease3.hasSymptom humandisease3.SYM_C
humandisease3.A20.0_LT_Blood_culture humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.Shiver humandisease3.isSymptomOf humandisease3.Lassa_fever
humandisease3.B44.9_LT_Routine_sputum_culture_search_Aspergillus humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.A90_LT_Antibody_titer_for_dengue_viruses humandisease3.containsLabTest humandisease3.Serology_studies_to_look_for_antibodies_to_dengue_viruses
humandisease3.SYM_C humandisease3.isSymptomOf humandisease3.PR_SYMS_A_B
humandisease3.B44.9_LT_Chest_X-Ray humandisease3.containsLabTest humandisease3.Open_lung_biopsy
humandisease3.B44.9_LT_Aspergillus_antigen_skin_test humandisease3.containsLabTest humandisease3.Biopsy_unspecified
humandisease3.A20.7_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Blood_culture
humandisease3.A20.0_LT_Blood_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
humandisease3.B44.0_LT_Chest_X-Ray humandisease3.containsLabTest humandisease3.Open_lung_biopsy
humandisease3.A90_LT_Serology_studies_look_antibodies_dengue humandisease3.containsLabTest humandisease3.Antibody_titer_for_dengue_virus_types
humandisease3.B44.9_LT_Complete_Blood_Counter humandisease3.containsLabTest humandisease3.Low_Blood_Pressure
humandisease3.A20.0_LT_Routime_Sputum humandisease3.containsLabTest humandisease3.Lymph_node_culture
humandisease3.B44.9_LT_CT_Scan humandisease3.containsLabTest humandisease3.Aspergillosis_precipitin
humandisease3.A20.7_LT_Blood_culture humandisease3.containsLabTest humandisease3.Routine_sputum_culture
